,0
1053_at,1
121_at,1
1552276_a_at,1
1552344_s_at,1
1552440_at,1
1552461_at,1
1552474_a_at,1
1552508_at,1
1552643_at,1
1552660_a_at,1
1552665_at,2
1552772_at,2
1552773_at,4
1552930_at,1
1553423_a_at,1
1553604_at,4
1553605_a_at,3
1554489_a_at,1
1554517_x_at,1
1554558_at,1
1554875_at,1
1558116_x_at,1
1558685_a_at,1
1560683_at,1
1563082_at,1
1565849_a_at,1
1567027_at,1
201029_s_at,1
201166_s_at,1
201506_at,5
201853_s_at,1
201969_at,1
202018_s_at,2
202022_at,1
202155_s_at,1
203111_s_at,1
203802_x_at,1
203859_s_at,1
204381_at,1
205083_at,1
205810_s_at,1
206067_s_at,5
207213_s_at,1
207802_at,4
209188_x_at,1
209395_at,4
209560_s_at,3
209911_x_at,1
209935_at,1
209982_s_at,4
211759_x_at,1
212531_at,4
212768_s_at,4
212809_at,1
213836_s_at,3
214356_s_at,1
214764_at,1
215116_s_at,2
215496_at,1
217728_at,2
218454_at,3
218718_at,2
220792_at,1
221353_at,1
224015_s_at,1
224504_s_at,1
224967_at,3
227860_at,4
227923_at,3
228031_at,3
229739_s_at,4
229827_at,1
232395_x_at,1
233116_at,1
233170_at,1
235142_at,3
235764_at,2
236597_at,1
242107_x_at,2
242851_at,1
243312_at,1
244606_at,1
1552364_s_at,2
1553295_at,2
1553706_at,2
200064_at,1
200094_s_at,1
200809_x_at,1
200823_x_at,1
200998_s_at,1
200999_s_at,1
201028_s_at,2
201063_at,2
201074_at,1
201242_s_at,2
201307_at,1
201363_s_at,1
201393_s_at,1
201417_at,2
201429_s_at,1
201825_s_at,1
202096_s_at,1
202391_at,1
202670_at,1
202878_s_at,1
203212_s_at,1
203367_at,2
203761_at,1
203906_at,1
203936_s_at,3
204065_at,1
204174_at,1
204411_at,1
204446_s_at,1
204546_at,1
204623_at,3
204636_at,1
205040_at,4
205051_s_at,2
205119_s_at,2
205237_at,1
205349_at,2
205366_s_at,4
205513_at,1
205608_s_at,3
205609_at,3
205627_at,2
205786_s_at,1
205863_at,1
206106_at,2
206208_at,1
206335_at,1
206515_at,3
206554_x_at,1
206632_s_at,1
206697_s_at,2
206881_s_at,2
207072_at,1
207269_at,1
207467_x_at,1
207697_x_at,1
208127_s_at,2
208168_s_at,4
208517_x_at,1
208651_x_at,2
208788_at,1
208796_s_at,1
208837_at,1
208872_s_at,1
209045_at,1
209211_at,2
209276_s_at,1
209369_at,1
209396_s_at,3
209498_at,1
209536_s_at,1
209616_s_at,3
209648_x_at,3
209757_s_at,2
209760_at,2
209765_at,1
209771_x_at,1
209772_s_at,2
209791_at,2
209864_at,1
209949_at,1
209992_at,3
210114_at,1
210137_s_at,1
210146_x_at,1
210157_at,1
210244_at,3
210254_at,1
210262_at,3
210664_s_at,2
210772_at,2
210773_s_at,1
210944_s_at,2
211031_s_at,2
211275_s_at,1
211939_x_at,1
212018_s_at,1
212242_at,1
212519_at,1
212539_at,1
212586_at,1
213258_at,2
213414_s_at,1
213564_x_at,1
213668_s_at,2
213798_s_at,1
214366_s_at,2
214475_x_at,2
214800_x_at,1
214907_at,1
215963_x_at,1
216379_x_at,1
217809_at,2
218373_at,1
218641_at,3
218728_s_at,1
218825_at,2
218858_at,2
219175_s_at,2
219288_at,2
219293_s_at,1
219295_s_at,1
219471_at,2
219669_at,3
219990_at,1
220088_at,1
220134_x_at,1
220147_s_at,2
