,freq
CLEC4D,4
JUP,3
TGFBI,5
RPS19,3
WIPI1,3
MMP9,4
IRF4,3
ORM1,5
WT1,5
GLRX,4
PGLYRP1,4
CRISP3,4
CD24,3
NRXN2,3
LCN2,4
OLFM4,4
PLBD1,4
C11orf95,4
EGFL7,4
SLC41A3,3
LRP12,4
EBPL,3
CPXM1,4
SHANK3,4
TRIM71,3
235142_at,4
1552632_a_at,4
ABCA13,3
HTRA4,4
S100Z,3
RCN1,3
KAT2A,3
TACSTD2,4
SLPI,4
DUSP14,3
TFF3,3
LIN7A,3
FLT3,3
CHIT1,3
KLF5,3
CHI3L1,3
CAMP,3
CRISP2,3
LRIG1,3
CD177,3
RETN,4
CYSTM1,3
SLC16A6,3
RBP7,3
MEIS1,3
HOXB6,3
CTSE,3
SLC25A21,3
