"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","entrezgene_id"
"1","205040_at",-4.79638476257452,7.22409284728796,-21.7834501331391,7.98580523918056e-73,2.38967235977239e-68,154.592931806125,5004
"2","207802_at",-6.79957305368489,7.62626229654953,-20.4535529186085,1.28839308729292e-66,1.92769373720767e-62,140.509265371702,10321
"3","210244_at",-5.7765879087299,9.61804405912482,-20.2555378857136,1.08016304462737e-65,1.07742663158098e-61,138.413497677329,820
"4","212531_at",-5.72189611592792,9.87667409072596,-19.1942562765949,9.38242462725248e-61,7.01899186364758e-57,127.201921354795,3934
"5","208168_s_at",-3.9081175083394,5.90731930238169,-18.3214318098129,1.0308242495003e-56,6.16927696840942e-53,118.025703720422,1118
"6","207384_at",-4.68947355389613,9.0799636200307,-18.1022924703762,1.05574869620895e-55,5.26537066422612e-52,115.730923283773,8993
"7","206515_at",-5.19148463179267,6.53173529222289,-17.9809672946914,3.82037858068252e-55,1.63315726640491e-51,114.462290063269,4051
"8","204623_at",-2.39072301135583,5.92338939535265,-17.4860613156233,7.13877786947666e-53,2.67025986207774e-49,109.302588174568,7033
"9","203936_s_at",-4.98551166562315,9.76901975238564,-17.4263094646388,1.33987560890346e-52,4.45493752453635e-49,108.681437053444,4318
"10","232027_at",-3.26036264312375,5.26632748894516,-16.3090029696815,1.59186620220581e-47,4.76350042348066e-44,97.1522837270211,23345
"11","206697_s_at",-3.95056633579338,8.81329186415331,-16.1049243739099,1.3179294857805e-46,3.58524744840871e-43,95.0666275378046,3240
"12","238066_at",-3.60127164075495,6.38982211556674,-16.0466646599691,2.40648967790147e-46,6.0009830934603e-43,94.4725154524805,116362
"13","211883_x_at",-3.08814216171982,6.79275321912875,-15.4238230820316,1.44494045902462e-43,3.32603063814252e-40,88.1597605359889,634
"14","210004_at",-3.86326655376882,5.01644742831991,-15.2594470547198,7.71879133276827e-43,1.64983651315541e-39,86.5064141253766,4973
"15","206674_at",3.62156869906858,7.79342786184851,15.2147857251155,1.21573343476509e-42,2.42530715346071e-39,86.0581719915353,2322
"16","203021_at",-3.77594231904099,8.80234874503187,-14.988324294791,1.20867379404452e-41,2.26052216331176e-38,83.7919325186512,6590
"17","209211_at",-3.14242496377347,5.1644884343873,-14.9789084663549,1.32945774957242e-41,2.3401584528356e-38,83.6979517458752,688
"18","205627_at",-3.88449884519284,8.69568355890272,-14.938278260076,2.00479509371206e-41,3.33286046579109e-38,83.2926446881091,978
"19","228031_at",-1.53394276817587,7.22792231803718,-14.8572607360182,4.54258762102017e-41,7.15433641954777e-38,82.4855743288544,79183
"20","224707_at",-2.94333589840046,9.30537380507267,-14.8346427730331,5.70633287836286e-41,8.53781525260652e-38,82.2605308977871,84418
"21","211889_x_at",-2.80144909033016,5.89460212251,-14.7277697490572,1.67375858973043e-40,2.38502628757588e-37,81.1987843540875,634
"22","219669_at",-3.58189892509578,7.07184256145079,-14.5421587986046,1.07770135469605e-39,1.46586978808748e-36,79.3612840757373,57126
"23","209772_s_at",-3.72213544273246,9.09335687816142,-14.5237792686848,1.29535164085183e-39,1.68530880438478e-36,79.1797889920787,NA
"24","1553605_a_at",-3.92975823375793,4.91696600754495,-14.511487365821,1.46485880499881e-39,1.82643478669935e-36,79.058455011949,154664
"25","235142_at",3.5864948317512,5.27319643037462,14.4578730961452,2.50354977263327e-39,2.99664893585112e-36,78.5296662271107,NA
"26","227923_at",3.58853094560054,5.46163357129193,14.4474925311816,2.77706426398758e-39,3.16841955058137e-36,78.42736762973,85358
"27","226043_at",2.34826424213727,7.30414542427333,14.4445871993248,2.85881993936963e-39,3.16841955058137e-36,78.3987409657125,26086
"28","223894_s_at",-2.30095638149105,6.07830871211839,-14.335695797894,8.46818468174491e-39,9.05006994344767e-36,77.3273629693168,NA
"29","212768_s_at",-5.00161040402876,6.91069139303436,-14.2842068424074,1.41358993395414e-38,1.45862983391874e-35,76.8218251278994,10562
"30","220377_at",2.95007367365853,7.80287041462652,14.2021507962074,3.19405015798671e-38,3.18595856425314e-35,76.0175979439274,9834
"31","236979_at",-1.8135434866859,5.73524598833392,-14.0832862247094,1.03700505964317e-37,1.00101094854072e-34,74.8557817574813,440603
"32","218454_at",-5.11903675545173,9.88059233235594,-14.0463622353409,1.49387878373829e-37,1.39696339764327e-34,74.4956517667065,79887
"33","230698_at",1.97576069290759,3.08103394967276,13.8702484438398,8.47638072742009e-37,7.68627929961572e-34,72.7831353707793,83698
"34","235309_at",1.87621188650582,6.80350066587576,13.8254398698902,1.31649336908593e-36,1.15866904636845e-33,72.3488077516448,6210
"35","209276_s_at",-2.10167404395873,8.89386113602746,-13.8224132043852,1.35620443509622e-36,1.15951604330912e-33,72.3194909964238,2745
"36","209396_s_at",-4.02877162523534,8.60080231817516,-13.7794263932092,2.06780088950828e-36,1.71880205049016e-33,71.9033969084156,1116
"37","200999_s_at",-3.48413769515386,8.76652128630375,-13.7060888321297,4.2412393881503e-36,3.43013101218945e-33,71.1947498621973,10970
"38","204636_at",-2.35375174324474,5.85215432000028,-13.6967090755448,4.64885424565324e-36,3.6608503801823e-33,71.1042277501055,1308
"39","225335_at",1.76282610607559,6.44488737912989,13.6746962503822,5.76542076080379e-36,4.42370386785366e-33,70.891887532038,84838
"40","214523_at",-2.49913883849194,7.04810616458926,-13.6720912270112,5.91411881961174e-36,4.42435228895154e-33,70.8667683415577,1053
"41","209369_at",-4.65366876754695,8.37722313045362,-13.658996398264,6.72152817488818e-36,4.90573192939888e-33,70.7405303859978,306
"42","221485_at",-2.23798888371947,9.27028417944516,-13.6161147253396,1.02168072000047e-35,7.27923187268908e-33,70.3274925088716,9334
"43","203827_at",-2.40835777255069,6.63274652737292,-13.5939049027781,1.26883892673822e-35,8.82993861481735e-33,70.1137808692523,55062
"44","211275_s_at",-1.83044198294076,10.6522901046329,-13.5629182990338,1.71622157373467e-35,1.16718669028264e-32,69.8158613018818,2992
"45","210262_at",-2.83694724395686,4.48736678030431,-13.424765717583,6.57416839517403e-35,4.37167589015973e-32,68.4911232615814,7180
"46","227263_at",1.0957376989283,5.70115069645778,13.3879963637845,9.389659684251e-35,6.10817774764189e-32,68.1395264613063,541565
"47","215102_at",-2.41256220516967,5.3572406307043,-13.3700035602551,1.11773325262651e-34,7.11639358544587e-32,67.9676275722475,NA
"48","218686_s_at",2.00031004342115,5.15553071135342,13.3151072096089,1.90104987364749e-34,1.1851461753964e-31,67.4437838850242,64285
"49","211413_s_at",-3.14611223222623,6.78939412994246,-13.271239609016,2.90411888345346e-34,1.77352762180533e-31,67.0258601966184,23569
"50","209864_at",-2.08193237157539,8.1294990470682,-13.2492018239946,3.5922062716581e-34,2.14986360946194e-31,66.8161370241572,23401
"51","225962_at",2.22247235050472,5.48277460575729,13.229114964065,4.35988052152434e-34,2.55813852404107e-31,66.6251141794472,84937
"52","206662_at",-1.30902896863508,10.1739462062933,-13.1977268209436,5.89929028713993e-34,3.39481466446875e-31,66.3268754997396,2745
"53","213836_s_at",-2.18016491205514,7.14084687358944,-13.1945904318388,6.08015436435131e-34,3.43287809809148e-31,66.2970919939125,55062
"54","208908_s_at",-2.20645403700574,8.35740911601772,-13.1308652610723,1.12223509240596e-33,6.21884498243628e-31,65.6926360450748,831
"55","1553295_at",-2.12738847678676,3.70971003036585,-13.0852687823623,1.73852742171172e-33,9.4588535576912e-31,65.2609445395667,154664
