Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
11	0.2727	BRD-K54687541	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K54687541	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45382271	None	HEPG2	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_HEPG2_6H:BRD-K54687541:10.0
12	0.2727	MLS-0437446.0001	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32636001	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9581015	None	HT29	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_HT29_6H:BRD-K32636001:10.0
13	0.2727	VU0404997-2	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A34208323	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46869952	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_24H:BRD-A34208323:10.0
14	0.2727	BRD-K15834839	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15834839	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22752	None	SKB	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_SKB_24H:BRD-K15834839:10.0
15	0.2727	BRD-K96263742	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96263742	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3392731	None	SKB	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_SKB_24H:BRD-K96263742:10.0
16	0.2727	BRD-K54233340	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K54233340	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11524144	None	MCF7	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC018_MCF7_6H:BRD-K54233340:10.0
17	0.2273	JAK3 Inhibitor VI	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K04546108	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9947841	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_PC3_6H:BRD-K04546108:10.0
18	0.2273	Dorsomorphin dihydrochloride	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K54233340	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11524144	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_PC3_6H:BRD-K54233340:10.0
19	0.2273	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_A549_6H:BRD-A52650764:10.0
20	0.2273	phorbol-12-myristate-13-acetate (PMA)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A15079084	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4792	None	CL34	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_CL34_6H:BRD-A15079084:10.0
21	0.2273	Chemistry 2804	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74402642	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6477762	None	EFO27	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_EFO27_6H:BRD-K74402642:10.0
22	0.2273	FK506	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K08845546	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24140138	None	HT115	22.2um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HT115_6H:BRD-K08845546:22.2
23	0.2273	PROSTAGLANDIN A1	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K04010869	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5281912	None	NCIH1694	1.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_NCIH1694_6H:BRD-K04010869:1.0
24	0.2273	IMD 0354	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74305673	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5081913	None	NCIH1694	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_NCIH1694_6H:BRD-K74305673:10.0
25	0.2273	BRD-K35716340	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K35716340	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1641662	None	PL21	12.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PL21_6H:BRD-K35716340:12.0
26	0.2273	MLN2238	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K78659596	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25183872	None	SKLU1	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SKLU1_6H:BRD-K78659596:10.0
27	0.2273	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	HT29	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_HT29_6H:BRD-K84203638:10.0
28	0.2273	BRD-K54687541	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K54687541	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45382271	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A375_6H:BRD-K54687541:10.0
29	0.2273	NCGC00241726-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05979026	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=60138116	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A549_6H:BRD-K05979026:10.0
30	0.2273	NCGC00182609-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K95858622	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2950270	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A549_6H:BRD-K95858622:10.0
31	0.2273	MLS-0437446.0001	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32636001	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9581015	None	MCF7	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_MCF7_6H:BRD-K32636001:10.0
32	0.2273	BRD-K83670234	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K83670234	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46907618	None	MCF7	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_6H:BRD-K83670234:10.0
33	0.2273	BRD-K55127335	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K55127335	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44142098	None	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_PC3_24H:BRD-K55127335:10.0
34	0.2273	BRD-K53423944	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K53423944	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3238389	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC010_A549_6H:BRD-K53423944:10.0
35	0.2273	wortmannin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A75409952	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5691	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC011_A549_6H:BRD-A75409952:10.0
36	0.2273	taxifolin-(+/-)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K95808480	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=712318	None	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC011_VCAP_24H:BRD-K95808480:10.0
37	0.2273	BRD-K74797618	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74797618	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72947407	None	HCC515	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC012_HCC515_6H:BRD-K74797618:10.0
38	0.2273	S1040	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K23984367	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=406563	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_NPC_24H:BRD-K23984367:10.0
39	0.2273	HY-11068	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K82091397	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5166	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_ASC_24H:BRD-K82091397:10.0
40	0.2273	BRD-K64857848	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K64857848	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46844147	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_HA1E_6H:BRD-K64857848:10.0
41	0.2273	S1003	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99749624	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11485656	None	VCAP	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_VCAP_6H:BRD-K99749624:10.0
42	0.2273	BRD-K96263742	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96263742	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3392731	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_ASC_24H:BRD-K96263742:10.0
43	0.2273	BRD-A17065207	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A17065207	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5362868	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC016_NPC_24H:BRD-A17065207:10.0
44	0.2273	BRD-K23478508	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K23478508	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2724385	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC017_MCF7_24H:BRD-K23478508:10.0
45	0.2273	BRD-K10176267	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K10176267	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4237309	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC017_NPC_24H:BRD-K10176267:10.0
46	0.2273	BRD-K23478508	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K23478508	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2724385	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC017_NPC_24H:BRD-K23478508:10.0
47	0.2273	BRD-K31491153	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K31491153	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4780	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC018_NPC_24H:BRD-K31491153:10.0
48	0.2273	BI-2536	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-U70626184	None	None	MCF7	10um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP009_MCF7_24H:BRD-U70626184:10
49	0.2273	SB-203580	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A37704979	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=176155	None	HEPG2	10um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP009_HEPG2_24H:BRD-A37704979:10
50	0.2273	withaferin-a	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K88378636	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=265237	None	HS578T	3.33um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP005_HS578T_24H:BRD-K88378636:3.33
