Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.3182	BRD-K58853583	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K58853583	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46907631	None	HEPG2	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_HEPG2_6H:BRD-K58853583:10.0
2	0.3182	NCGC00182609-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K95858622	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2950270	None	HT29	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_HT29_6H:BRD-K95858622:10.0
3	0.3182	S1003	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99749624	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11485656	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_A549_6H:BRD-K99749624:10.0
4	0.3182	WZ-3105	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K92571446	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=42628507	None	HS578T	0.04um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP005_HS578T_24H:BRD-K92571446:0.04
5	0.2727	Importazole	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A02481876	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2949965	None	HCT116	60.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HCT116_6H:BRD-A02481876:60.0
6	0.2727	Tyrphostin AG 1478	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K68336408	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2051	None	PL21	56.78um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PL21_6H:BRD-K68336408:56.78
7	0.2727	Ro 28-1675 ?	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21672174	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9886086	None	SKM1	160.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SKM1_6H:BRD-K21672174:160.0
8	0.2727	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_A375_6H:BRD-K84203638:10.0
9	0.2727	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_PC3_6H:BRD-K84203638:10.0
10	0.2727	MLS-0437446.0001	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32636001	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9581015	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A375_6H:BRD-K32636001:10.0
