,0
LTF,5
CACNA2D4,3
CLEC4D,2
KBTBD6,2
ABCA13,2
PPARGC1B,2
FAM201A,1
MEIS1,4
ITPRIPL2,3
UROS,1
OSBP2,1
APP,2
GPX1P1,1
GLUD1,1
CD59,3
CTTN,4
PXN,1
IVNS1ABP,2
EPCAM,2
CTDSPL,3
CPNE3,2
TACSTD2,3
DHRS3,1
SVIL,1
S100A13,2
SLPI,2
HMBS,1
FBLN5,1
GARRE1,1
MME,1
CEACAM6,4
GCA,2
STS,4
GCLM,1
MMP9,3
MPO,2
FZD6,1
PBX3,1
CPOX,1
RTN2,3
KIF21B,2
PLA2G15,3
TFF3,3
COL17A1,2
PANX1,1
MAL,1
MNDA,2
ORM1,3
QPCT,2
PLS1,1
GPSM2,1
KCNH2,2
CLDN10,2
ANK1,2
CRLF3,1
TCN1,4
REPS2,1
LY86,1
S100A12,2
CTSE,2
NMU,1
ATP2C2,1
RHAG,1
ARG1,3
HOXA4,2
FOLR3,1
NDRG2,2
MT1H,2
BMX,3
PPEF1,1
CEACAM1,3
APMAP,3
IGLL1,2
FLT3,3
CEACAM8,3
HP,3
HOXA7,3
ELANE,2
TNFSF9,2
SPTA1,2
IL18RAP,3
ART4,1
DEFA4,4
PRTN3,3
PGLYRP1,3
PKP2,1
CRISP3,4
PF4V1,2
GYPE,1
AMPD3,3
PABPC3,1
CHIT1,3
HOXA6,3
TUBB1,1
CD24P4,4
CD24,4
KLF5,2
OSBPL2,1
ANXA3,3
CHI3L1,3
SYNE1,1
RPA3,1
MINPP1,2
OLR1,3
TPI1,2
CST7,2
CAMP,3
CRISP2,2
RORA,2
CYP4F2,2
KLF1,3
210746_s_at,1
ANXA2P1,1
LRIG1,2
ATP9A,1
MYH10,1
LCN2,3
OLFM4,3
HOXA10,3
HOXA5,3
GFOD2,2
KLRB1,1
214475_x_at,1
CEBPE,3
CEACAM21,1
DPY19L1P1,3
TSPO2,2
SFXN3,3
YTHDF2P1,1
TNS3,4
DCAF6,1
TSPAN13,1
NANS,1
REXO2,1
NAV2,1
ACP6,2
ACSF2,3
CSGALNACT1,3
219112_at,1
MSRA,2
NUDT15,2
TRPM4,2
CD177,3
AHSP,2
HOOK1,1
LGALSL,2
SIGLEC5,2
CRYBG2,1
ARHGEF40,3
CCDC81,1
SLC25A21,1
RETN,2
PRG3,1
LBH,2
PLA2G12A,1
ADSS2,1
FBXO41,2
WLS,1
SLC40A1,2
CCNDBP1,1
AIG1,2
ARV1,1
SLC37A3,1
KBTBD7,1
HEMGN,1
223894_s_at,2
SLC44A2,2
CYSTM1,2
USP40,3
SLAIN1,3
GLCCI1,2
RNF145,1
DHRS13,1
PIP4P2,2
BRAF,1
STOX2,1
LRRN1,1
STAMBPL1,1
RIPOR3,1
ARHGEF37,2
CRACDL,2
CPNE8,3
DENND6B,2
RBPMS2,1
ZEB1-AS1,1
MS4A14,2
VEPH1,1
C4orf48,1
CMTM2,2
GJB6,2
ANKRD33B,2
SMIM24,1
NTNG2,2
TLCD4,2
LDLRAD3,2
RGL4,3
VSTM1,2
BCL2L15,1
TAFA2,1
AIFM3,2
NEGR1,1
ADGRG3,1
NKX2-3,2
CMAHP,1
1554892_a_at,1
RBPMS,1
RECK,1
NR5A2,1
CKAP4,1
PFKP,1
STOM,1
TGFBI,1
GYG1,1
PLK2,3
AP3S1,1
EPS8,2
SPINT1,1
GRK6,1
DDB2,2
ITPR1,1
NR1H3,1
204262_s_at,2
TMC6,1
AK4,1
S100P,2
DLG4,1
HOXB7,3
CKM,2
UGCG,1
HOXB6,3
C5,1
HOXB5,2
CDA,1
CTSG,1
BST1,1
CCNA1,2
FUT1,2
ADAMDEC1,2
CLC,2
LIN7A,1
CYP4F3,2
MGAM,1
GLRX,1
RNASE3,1
MMP8,2
FDXR,2
SOCS5,2
ACTN1,1
ELOVL5,1
ECM1,2
SPON1,2
GNAI1,1
VLDLR,2
NRXN2,1
