,0
PDE6G,1
IRX5,1
210254_at,1
CCL23,2
PADI4,1
PRG2,1
RPIA,1
TTC28,1
OLFML2A,2
COL4A5,1
MLC1,1
TWIST1,2
AZU1,1
HOXA1,2
SLITRK5,1
DNM1,2
TDRD12,1
BEX1,1
ROGDI,1
PLBD1,1
TESC,1
COPZ2,3
CLEC5A,1
P2RY13,1
ZNF532,2
KDM7A,1
ADGRA2,3
EOGT,2
221952_x_at,1
EMILIN2,1
TMEM216,1
GPR160,1
PKIB,3
CDCA7L,1
225391_at,1
TTC8,1
SVIP,1
TSTD1,1
CNRIP1,2
C8orf58,1
SHANK3,1
SDSL,1
GGTA1,2
GLT1D1,1
ODAD3,3
GXYLT2,1
SLC16A14,1
RBP7,1
241353_s_at,1
PAN3-AS1,1
ABRA,1
LINC00525,1
GPNMB,1
GINS4,1
TRPM3,1
ALS2,1
TFAP2E,1
SCML4,1
ERGIC3,1
LINC01242,1
LINC01526,1
CNGA4,1
SAMD12,1
1563397_at,1
CADPS,1
EAF2,1
GTF2IP7,1
INPPL1,1
CASP3,1
DNAJB12,1
CDC23,1
TERF1P5,1
ZNF185,1
VRK1,1
LARS2,1
GMPR,1
IRF4,1
HOMER3,2
IFT140,1
RRAD,1
MLH3,1
TRIM3,1
PVALB,1
RRAGB,1
ASGR2,1
IL18,1
FOXE1,1
PRKACG,1
CACNB4,1
TELO2,1
DLK1,1
HLA-DRB4,1
PUF60,1
SPAG6,1
MAGEA10,1
FOLH1,1
PMPCA,1
HLA-DQA1,1
PDHA2,1
LINC01136,1
KIR3DX1,1
VENTXP1,1
USP27X,1
EGLN3,1
TESPA1,1
TNIP3,1
CLCA3P,1
EPB41L5,1
FAM117A,1
TAS2R3,1
WDR4,1
DRAM2,1
ARRDC4,1
ZFAND2B,1
PDP2,1
C12orf73,1
PPP1R14A,1
TSPAN18,1
SHF,1
RASSF6,1
CFAP70,1
FAXC,1
SHISA2,1
PTPRG-AS1,1
NXPH1,1
TRAV17,1
TBC1D8-AS1,1
PHC2-AS1,1
238727_at,1
LINC00992,1
MALRD1,1
WDR49,1
1554517_x_at,1
DGKE,1
1555731_a_at,1
1555734_x_at,1
1556730_at,1
CLEC4G,1
PCAT18,1
DHCR24,1
PLD3,1
TIMP1,1
NID1,1
GAA,1
NECTIN2,1
RTN1,1
FEZ1,1
PPP1R26,1
MT1X,1
F3,1
CAMK1,1
RPS6KA4,1
CDC42EP1,1
MT1G,1
NMB,1
MDM2,1
SYT17,1
DTNA,1
PRLR,1
CD70,1
CDKN2A,1
P2RX7,1
CD300C,1
SERPINI2,1
ARTN,1
MEF2C,1
TRIO,1
MYO7A,1
PPARG,1
CADM1,1
ITGA7,1
PHLDA2,1
PCGF1,1
GPR35,1
RAB11FIP5,1
MT2A,1
RRAS,1
MT1E,1
CAVIN3,1
UAP1L1,1
SPATS2L,1
HOXB9,1
BAG3,1
TNIP2,1
RPP25,1
C1orf54,1
NRIP3,1
AGPAT3,1
DKK2,1
SLC2A9,1
SAGE1,1
RASSF4,1
222222_s_at,1
SLC44A1,1
AIFM2,1
STING1,1
PTGFRN,1
MFSD2A,1
PRICKLE1,1
ADSS1,1
FAM20C,1
METTL7B,1
SNX33,1
ZNF503,1
PRXL2C,1
PHACTR3,1
ILDR2,1
IRX3,1
230606_at,1
HOXB-AS3,1
ANKRD35,1
NUDT14,1
TSLP,1
RFESD,1
RNF175,1
C17orf99,1
FCRLB,1
CHST13,1
LINC00900,1
240423_at,1
