,freq
LTF,5
CACNA2D4,3
MEIS1,4
ITPRIPL2,3
CD59,3
CTTN,4
CTDSPL,3
TACSTD2,3
CEACAM6,4
STS,4
MMP9,3
RTN2,3
PLA2G15,3
TFF3,3
ORM1,3
TCN1,4
ARG1,3
BMX,3
CEACAM1,3
APMAP,3
FLT3,3
CEACAM8,3
HP,3
HOXA7,3
IL18RAP,3
DEFA4,4
PRTN3,3
PGLYRP1,3
CRISP3,4
AMPD3,3
CHIT1,3
HOXA6,3
CD24P4,4
CD24,4
ANXA3,3
CHI3L1,3
OLR1,3
CAMP,3
KLF1,3
LCN2,3
OLFM4,3
HOXA10,3
HOXA5,3
CEBPE,3
DPY19L1P1,3
SFXN3,3
TNS3,4
ACSF2,3
CSGALNACT1,3
CD177,3
ARHGEF40,3
USP40,3
SLAIN1,3
CPNE8,3
RGL4,3
PLK2,3
HOXB7,3
HOXB6,3
COPZ2,3
ADGRA2,3
PKIB,3
ODAD3,3
