,freq
WT1,5
DGKE,4
MEIS1,3
WASIR2,4
ATP1B1,3
DDAH2,3
SLPI,3
MMP9,3
PROM1,4
S100P,3
TFF3,3
ORM1,3
TCN1,3
CDA,3
SPINK2,3
LIN7A,3
FLT3,4
CEACAM8,3
HP,3
HOXA7,4
ELANE,4
MMP8,3
PGLYRP1,3
CRISP3,4
CD24,4
ANXA3,3
SPON1,3
RPA3,3
GNAI1,4
TST,3
GATA2,3
CAMP,3
LCN2,3
OBSL1,3
HOXA10,3
218086_at,3
C11orf95,3
EGFL7,3
DEPTOR,3
MYO5C,3
NPR3,4
ROBO3,3
LRP12,3
CLEC5A,3
DNMT3B,3
MEX3B,3
ZNF521,3
C8orf58,3
SHANK3,3
LINC01341,4
235142_at,3
COL24A1,3
PAN3-AS1,3
NKX2-3,3
NR1H3,3
HOXB6,3
HOXB5,3
IL12A,3
CD24P4,3
DLK1,3
JCAD,3
TRIM71,3
ZC3H12C,3
