,0
CLMN,1
THSD7A,1
TNFRSF4,1
FNBP1L,1
LHFPL6,1
EGFL7,1
CERS4,1
SLC24A3,1
PGBD5,1
OGDHL,1
AVEN,1
MTARC2,1
NRIP3,1
TRIM36,1
KCNE5,1
RAB15,1
ZDHHC9,1
NAT14,1
FBXW9,1
MEX3B,1
KCNK17,1
NDFIP2,1
PHYHD1,1
EBF3,1
MAMDC2,1
RBFOX3,1
IRX3,1
A1BG,1
DNAAF3,1
SNORC,1
PCAT6,1
NOG,1
MEG8,1
TPTE2P6,1
235416_at,1
BMS1P1,1
NUDT10,1
SIX3-AS1,1
