,freq
CLEC4D,3
GCA,4
TFF3,4
TCN1,4
HP,3
CRISP3,5
AMPD3,3
CD24,4
ANXA3,4
CAMP,5
SFXN3,4
CYSTM1,3
ABCA13,3
S100Z,3
ACY3,3
MEIS1,4
CD99,3
TIMP1,3
EPCAM,3
CTDSPL,3
TACSTD2,3
CEACAM6,4
MMP9,3
COL17A1,3
HOMER3,4
ORM1,4
CFD,3
CD8A,3
CTSE,4
WT1,3
FLT3,3
CEACAM8,3
IL18RAP,3
PRTN3,3
PGLYRP1,3
PKP2,3
PF4V1,3
CHIT1,3
CD24P4,3
PLXNB2,3
KLF5,3
CHI3L1,3
SYNE1,3
DLK1,3
OLR1,3
210944_s_at,3
LRIG1,3
LCN2,3
OLFM4,3
HOXA10,3
KLRB1,3
TNS3,3
PCOLCE2,3
LGALSL,3
SUSD3,3
GGTA1,3
MS4A14,3
PCAT6,4
GJB6,3
RGL4,3
SLC16A14,3
WASIR2,3
KRT18,3
STS,3
HOXB7,3
HOXB5,3
LPAR4,3
CD34,3
ILDR2,3
