,freq
ORM1,5
CLEC4D,3
CKAP4,3
PFKP,4
RCN1,3
TGFBI,4
EXT2,4
LTF,3
TACSTD2,4
SLPI,4
DUSP14,4
MPG,3
CEACAM6,3
NR1H3,3
MMP9,4
TFF3,3
COL17A1,3
QPCT,3
CDA,3
CLTCL1,3
WT1,4
FUT1,3
FLT3,4
HP,3
MMP8,3
PGLYRP1,3
FCAR,3
CRISP3,4
CHIT1,3
KLF5,3
CHI3L1,3
OLR1,3
CAMP,4
CYP4F2,3
210944_s_at,3
LCN2,3
OLFM4,3
OBSL1,3
SMPDL3A,3
214475_x_at,3
CEBPE,3
DPY19L1P1,3
DNM1,4
CCNB1IP1,3
PLBD1,3
C11orf95,3
DEPTOR,3
CD177,3
LGALSL,3
223894_s_at,3
REPS1,3
CYSTM1,3
INKA1,3
GLT1D1,3
SLC16A6,3
235142_at,4
COL24A1,3
PAN3-AS1,3
STAR,3
MANEAL,3
