,0
ORM1,5
1552632_a_at,2
CLEC4D,3
ABCA13,2
CEL,2
BICD1,2
SIRPB1,2
SEPTIN6,1
1556988_s_at,1
S100A11,1
TOMM20,1
CD59,2
CKAP4,3
CD99,2
PFKP,4
RCN1,3
IVNS1ABP,2
SOX4,2
RPL37A,1
TGFBI,4
201676_x_at,2
CTDSPL,1
EXT2,4
LTF,3
TSPO,2
CPNE3,1
KAT2A,2
DDAH2,2
TACSTD2,4
BASP1,2
RPS19,1
IL1R1,2
SLPI,4
GABBR1,2
DUSP14,4
S100A9,1
MPG,3
CEACAM6,3
GCA,1
WIPI1,1
IQSEC1,1
TCEA2,1
NR1H3,3
CYBB,2
MMP9,4
CHST10,2
MYL6B,1
ALOX5AP,1
S100P,2
KIF21B,1
IRF4,1
TFF3,3
COL17A1,3
HHEX,1
MAL,2
UGCG,1
QPCT,3
FCN1,1
GNA15,2
TCN1,2
CDA,3
BST1,2
S100A12,2
SLC22A4,1
VNN2,2
HK3,2
CLTCL1,3
ATP2C2,2
WT1,4
FUT1,3
IL3RA,2
ARG1,1
SPINK2,1
FOLR3,1
LIN7A,2
BMX,2
MGAM,2
CEACAM1,2
GLRX,2
FLT3,4
CEACAM8,2
HP,3
LILRA3,2
ST13,1
IL18RAP,2
CD101,1
DEFA4,2
MMP8,3
PGLYRP1,3
FCAR,3
ENTPD1,1
PKP2,2
CRISP3,4
PF4V1,1
CD8B,2
AMPD3,1
CHIT1,3
FGR,1
BTF3,2
HOXA6,2
EIF3E,1
REEP5,1
KLF5,3
ANXA3,2
CHI3L1,3
TMEM131L,2
ADAM19,1
FRAT2,2
NCF2,1
OLR1,3
KCNJ15,2
SETP14,1
CAMP,4
CYP4F2,3
ADGRE3,1
210944_s_at,3
CLIP2,2
211746_x_at,2
211890_x_at,2
TUBA4A,2
UBE2E1,2
LCN2,3
ARHGAP19,1
OLFM4,3
OBSL1,3
C1orf216,2
CBX7,1
ANKRD28,2
G0S2,2
SMPDL3A,3
ABHD5,1
214475_x_at,3
CEBPE,3
CEACAM21,1
DPY19L1P1,3
DNM1,4
RPL3,1
S100A6,1
RAB31,1
RTRAF,1
BZW2,2
MSRB1,2
CCNB1IP1,3
ZDHHC3,1
NAV2,1
PHC1,2
PLBD1,3
C11orf95,3
DEPTOR,3
CNNM4,1
MSRA,2
PCOLCE2,1
CD177,3
HOOK1,1
LGALSL,3
NOD2,1
C5AR1,1
EVA1B,1
SINHCAF,2
SLC25A21,2
RETN,2
DNMT3B,2
SNHG32,2
PRG3,2
PECR,2
221517_s_at,2
KDM7A,2
GUCY1A1,2
WLS,2
NAT14,2
KBTBD7,1
LRRC4,1
KIAA1549,2
MEX3B,2
223894_s_at,3
REPS1,3
SLC44A2,1
CYSTM1,3
TPRG1L,1
SLC15A4,1
HS6ST1,1
MCU,1
PIP4P2,1
C8orf58,2
INKA1,3
TMEM220,1
GLT1D1,3
SLC16A6,3
RFX5-AS1,1
230856_at,2
PCAT6,2
GJB6,2
SIRPD,1
235142_at,4
MCEMP1,2
RGL4,2
SLC16A14,1
TMEM154,1
COL24A1,3
PAN3-AS1,3
NAV3,2
CCDC171,2
CCDC125,1
HTRA4,1
DGKE,1
TBC1D16,1
PDE4D,1
S100Z,1
PCBD2,2
CALN1,2
PTPRM,2
MTMR11,2
FAM201A,1
RECK,1
SPATA19,2
MEIS1,2
IRGM,2
KHDRBS1,1
CKB,1
ALDH2,1
EPCAM,1
AP3S1,1
SVIL,1
EPS8,2
ELOC,1
GARRE1,2
SEC61G,1
ITPR1,1
RAB11FIP3,1
RTN2,1
PROM1,1
STAR,3
RAMP1,2
KCNH2,1
MN1,2
CTSG,1
CYP27B1,2
CCNA1,2
CTSE,1
SOCS6,1
MERTK,1
FAM30A,1
CYP4F3,2
APMAP,1
ELANE,1
DLX2,1
PRTN3,1
KRT13,1
PABPC3,1
SOCS5,2
CPVL,1
CD24P4,1
CD24,1
SAP18,1
COL18A1,1
ADCY3,1
DEAF1,2
SPON1,1
SYNE1,1
CD34,2
GNAI1,2
FBP1,1
NRXN2,2
CRISP2,2
IFT20,1
RORA,1
PADI4,2
LRIG1,1
PLXND1,1
NKG7,1
GFOD2,1
AZU1,1
EMC8,1
MIDEAS,1
ROGDI,1
RHBDF1,2
EGFL7,2
BAALC,2
NPR3,2
SLC17A9,2
LRP12,1
RABL6,1
ADGRA2,1
EOGT,1
FBXO41,2
AIG1,1
SEC11C,1
PKIB,2
NIN,1
EIF2AK4,1
TMED8,1
DOCK7,2
BTBD6,1
INAFM2,2
SH3RF1,1
UBE2E2,1
MANEAL,3
STARD9,1
ZBTB46,2
SHANK3,2
DDIT4L,2
GGTA1,2
MSC-AS1,1
MAMDC2,2
ILDR2,1
TRIM71,2
RBP7,2
GLYCTK,1
DZIP1L,1
ZMYM6,1
ADGRG7,1
B3GALNT2,1
WDFY4,1
TWIST2,1
NALCN,1
1555206_at,1
KCNH7,1
UNC5C,1
MIR4280HG,1
AFAP1L1,1
ATN1,1
ZFP82,1
MTSS2,1
PHKG2,1
1557050_at,1
HGSNAT,1
LINC02436,1
AFAP1-AS1,1
TNRC18,1
DLGAP1-AS3,1
GRAPL,1
LINC01220,1
ST7-AS2,1
1565748_at,1
1568832_a_at,1
ZNF93,1
LINC02889,1
BGN,1
KRT18,2
EPB41L2,1
TWF2,1
TARBP1,1
DNAJB12,1
CDC23,1
EPHB4,1
HK2,1
MMUT,1
PTTG1,1
HCCS,1
AGAP1,1
TESK1,1
RNGTT,1
ELMO1,1
PDE4A,1
MLH3,1
ADGRB2,1
MIR4751,1
RNASE4,1
FANCC,1
ESR1,1
CLDN10,1
HOXB6,2
