,0
PDZK1,1
ZNF426,1
MAP3K13,1
AKR1B10,1
PASK,1
EPB41L3,1
UPK3A,1
ZFP30,1
IFNB1,1
TSPAN4,1
DLK1,1
SLC9A3R2,1
MPZ,1
FLRT1,1
MDM1,1
SLITRK5,1
HBBP1,1
LAMB2,1
OR2B6,1
LINC02249,1
C1orf115,1
ZNF668,1
EGLN3,1
GASK1B,1
ERO1B,1
IL23A,1
IRX4,1
SLC13A1,1
IMPG2,1
TAS2R1,1
GDF15,1
MYEF2,1
CHST6,1
ZMAT2,1
TTC32,1
XXYLT1,1
HTRA3,1
TRNP1,1
NANOS1,1
RBFOX3,1
WFDC21P,1
CLRN3,1
FAM166B,1
RAPGEF6,1
CASP14,1
FRG2EP,1
ADAD2,1
C12orf56,1
AADACL2,1
244343_at,1
SCARB1,1
MSI2,1
NLRC4,1
HSH2D,1
NEGR1,1
ZNF709,1
NKX2-3,1
TMTC4,1
KDSR,1
SSBP2,1
ZNF664,1
AMN,1
JUP,1
MMP2,1
ATP1B1,1
FSCN1,1
ST3GAL4,1
USP46,1
SOX12,1
ADA,1
AHDC1,1
HOXB5,1
TEC,1
IGSF6,1
HOXA7,1
CXCR2,1
CDK6,1
DGKZ,1
ECM1,1
TFPI,1
IRX5,1
FPR2,1
MLLT11,1
HESX1,1
VGLL4,1
COL4A5,1
HOXA10,1
NPTX2,1
HOXA5,1
SERPINB10,1
IPCEF1,1
DUSP10,1
218086_at,1
SLC35F2,1
MIR7106,1
SLC41A3,1
CLEC5A,1
219947_at,1
P2RY13,1
PLEKHA5,1
CFAP44,1
ISYNA1,1
NOB1,1
EBPL,1
GPR84,1
KCNK17,1
BRMS1L,1
STING1,1
SLC25A29,1
C12orf76,1
ZNF521,1
DNAJC18,1
CPXM1,1
CRACDL,1
ZBED3,1
SLC45A3,1
LRRK2,1
IRX3,1
ADGRG5,1
230281_at,1
HOXB-AS3,1
231412_at,1
CD99P1,1
235171_at,1
PGBD1,1
SLC26A8,1
GAS6-AS1,1
ANKRD22,1
NPW,1
